"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"11/01/2015 04:00:00 - 11/01/2015 05:00:00","BZN|RO","Without Sequence","1.00","",""
"11/01/2015 05:00:00 - 11/01/2015 06:00:00","BZN|RO","Without Sequence","3.80","",""
"11/01/2015 06:00:00 - 11/01/2015 07:00:00","BZN|RO","Without Sequence","4.00","",""
"11/01/2015 07:00:00 - 11/01/2015 08:00:00","BZN|RO","Without Sequence","81.00","",""
"11/01/2015 08:00:00 - 11/01/2015 09:00:00","BZN|RO","Without Sequence","155.00","",""
"11/01/2015 09:00:00 - 11/01/2015 10:00:00","BZN|RO","Without Sequence","157.48","",""
"11/01/2015 10:00:00 - 11/01/2015 11:00:00","BZN|RO","Without Sequence","175.20","",""
"11/01/2015 11:00:00 - 11/01/2015 12:00:00","BZN|RO","Without Sequence","194.00","",""
"11/01/2015 12:00:00 - 11/01/2015 13:00:00","BZN|RO","Without Sequence","190.00","",""
"11/01/2015 13:00:00 - 11/01/2015 14:00:00","BZN|RO","Without Sequence","170.93","",""
"11/01/2015 14:00:00 - 11/01/2015 15:00:00","BZN|RO","Without Sequence","189.57","",""
"11/01/2015 15:00:00 - 11/01/2015 16:00:00","BZN|RO","Without Sequence","202.00","",""
"11/01/2015 16:00:00 - 11/01/2015 17:00:00","BZN|RO","Without Sequence","266.88","",""
"11/01/2015 17:00:00 - 11/01/2015 18:00:00","BZN|RO","Without Sequence","271.00","",""
"11/01/2015 18:00:00 - 11/01/2015 19:00:00","BZN|RO","Without Sequence","271.00","",""
"11/01/2015 19:00:00 - 11/01/2015 20:00:00","BZN|RO","Without Sequence","271.00","",""
"11/01/2015 20:00:00 - 11/01/2015 21:00:00","BZN|RO","Without Sequence","247.00","",""
"11/01/2015 21:00:00 - 11/01/2015 22:00:00","BZN|RO","Without Sequence","204.00","",""
"11/01/2015 22:00:00 - 11/01/2015 23:00:00","BZN|RO","Without Sequence","167.00","",""
"11/01/2015 23:00:00 - 12/01/2015 00:00:00","BZN|RO","Without Sequence","50.00","",""
"12/01/2015 00:00:00 - 12/01/2015 01:00:00","BZN|RO","Without Sequence","7.41","",""
"12/01/2015 01:00:00 - 12/01/2015 02:00:00","BZN|RO","Without Sequence","4.49","",""
"12/01/2015 02:00:00 - 12/01/2015 03:00:00","BZN|RO","Without Sequence","1.00","",""
"12/01/2015 03:00:00 - 12/01/2015 04:00:00","BZN|RO","Without Sequence","2.00","",""
"12/01/2015 04:00:00 - 12/01/2015 05:00:00","BZN|RO","Without Sequence","59.00","",""
"12/01/2015 05:00:00 - 12/01/2015 06:00:00","BZN|RO","Without Sequence","185.48","",""
